ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	ensembl
93478_at	-2.171792019415954	7.786029720677739	-8.089995751455879	1.6396457808493934e-6	4.63255577177539e-5	5.255775090911493	ENSMUSG00000044224
94982_f_at	-2.1730639111284376	9.030241253657199	-10.545242033464861	7.45354826447673e-8	4.434385159721583e-6	8.447850710506765	NA.33
92458_at	-2.1859864522914894	8.274552687980606	-13.295101799577022	4.337160406726927e-9	5.416245915920586e-7	11.349347118746454	ENSMUSG00000028587
102302_at	-2.1954639320891403	9.11638513676659	-10.276531587534858	1.0158661590214561e-7	5.330309493218463e-6	8.129440849744459	ENSMUSG00000032263
102959_at	-2.1956286108529426	8.335743148985443	-6.750296581952265	1.1798354964490596e-5	2.064714176455054e-4	3.209706431187401	ENSMUSG00000024642
100023_at	-2.209336740139367	10.398931214112192	-8.413081008877624	1.0527542334584811e-6	3.3198976937953314e-5	5.714744391577119	ENSMUSG00000017861
92476_at	-2.2320694264397574	10.142526172162357	-8.95160832469079	5.163268528196063e-7	1.9363032246280008e-5	6.452003864762061	ENSMUSG00000030117
98826_at	-2.23747100299712	10.720180084896667	-12.553025980524504	8.862335787481983e-9	8.853827945126e-7	10.62492590855059	ENSMUSG00000050917
93250_r_at	-2.273459163354998	9.905037780142353	-8.906876193725047	5.471457242213612e-7	2.0288024889549724e-5	6.392048054131125	ENSMUSG00000054717
97937_at	-2.284774292592015	9.369032476240946	-8.009955025512298	1.8333220547796037e-6	5.053979209732382e-5	5.140077050046594	ENSMUSG00000005148
161787_f_at	-2.3040506492195654	9.62541625934076	-10.489439229696401	7.944425808252327e-8	4.623827030825107e-6	8.382295660974092	ENSMUSG00000006585.1
102069_at	-2.33269840635179	10.060165055257558	-10.604693016858839	6.965968940810185e-8	4.278230954024122e-6	8.51736771507262	ENSMUSG00000029267.1
95561_at	-2.3431327306238696	8.239203285903214	-8.693924721724205	7.231826462119133e-7	2.4947803552194402e-5	6.103466099759448	ENSMUSG00000003824
102344_s_at	-2.350126188744307	8.476275505582812	-6.471434869028145	1.832308195369994e-5	2.8818469450605144e-4	2.7534462312701553	ENSMUSG00000001604
98761_i_at	-2.369419750266241	10.872402607845373	-14.907993259613436	1.0273488387125953e-9	1.973774199668137e-7	12.797376900040383	NA.34
100443_at	-2.378042866075056	8.780563714239616	-7.142887904011615	6.461653342455198e-6	1.3099533594250083e-4	3.833979148454386	ENSMUSG00000030826
98459_at	-2.3801677669182126	9.397543147472177	-13.526050673482985	3.4968757857060187e-9	4.695589764720082e-7	11.566935524909564	ENSMUSG00000020534
96785_at	-2.383153445495955	8.701049501514817	-10.39123506966032	8.893978880950395e-8	4.850131365297316e-6	8.266208325728867	ENSMUSG00000042099.1
95033_at	-2.4059706399271175	10.420288296548389	-8.449819739338258	1.0017874372891255e-6	3.207774747914513e-5	5.766129963066614	ENSMUSG00000053470
98762_f_at	-2.4220653512940054	8.990412494156436	-10.472750765647351	8.09784048813544e-8	4.623827030825107e-6	8.362633209884114	ENSMUSG00000095990
99475_at	-2.4241924793491076	9.380516761173961	-10.925345130169308	4.861377383330478e-8	3.3540818101122103e-6	8.886650201545123	ENSMUSG00000020027
94027_at	-2.450653866135765	8.131323527910299	-6.571856654833435	1.5617978052604163e-5	2.556190169343654e-4	2.9189881737922754	NA.35
97896_r_at	-2.481500668657848	10.181570806693934	-11.401989441611411	2.8926632997137343e-8	2.315614056847764e-6	9.418516506163787	ENSMUSG00000027018.1
101881_g_at	-2.514244637450199	8.843190088718558	-6.103279873059904	3.3302408109840424e-5	4.57514271150371e-4	2.134613590412762	ENSMUSG00000001435.1
